Dates,HON,AMZN,GOOG,CVX,COP,FB,MRO,MRK,C,PYPL,CRM,AXP,QCOM,V,GILD,EXC,F,APTV,STZ,EL,SPWR,CO,WMT,HD,NEE,CSX,MCD,SPG,FSLR,NSC,SPX Index,RF,party
11/28/1980,,,,-0.004338402,-0.00438144,,-0.011108377,0,,,,-0.003609461,,,,0.0102565,-0.022073474,,,,,,0.004104909,,-0.014662308,0.005553807,-0.005281702,,,0.008791868,0.002493856,0.053,1
12/1/1980,,,,-0.065114687,-0.0244189,,0.011108377,-0.027109291,,,,0,,,,-0.0102565,-0.028327608,,,,,,0.011314898,,-0.009900993,-0.00826254,-0.030468307,,,-0.03260022,-0.023837228,0.059,1
12/2/1980,,,,0.016107108,0.011186192,,0.069375758,0.004854974,,,,0.052734129,,,,-0.010362787,0.011414692,,,,,,-0.006773564,,-0.015045838,-0.013978377,0.008155913,,,0.011985744,-0.001750675,0.059,1
12/3/1980,,,,-0.002282054,0,,-0.005182512,-0.004854974,,,,-0.00339311,,,,0.010362787,-0.022961185,,,,,,0.004520803,,-0.015259267,0.008378362,0.005400553,,,-0.008975813,-0.00190003,0.059,1
12/4/1980,,,,-0.020813661,-0.020211845,,0.005182512,-0.004829261,,,,0.013631233,,,,0,-0.011747759,,,,,,-0.011340562,,-0.010309285,0.011089507,0.014260491,,,-0.006028948,-0.00168381,0.059,1
12/5/1980,,,,-0.040526088,-0.053566825,,-0.04211643,-0.003265551,,,,-0.045053837,,,,-0.010362787,-0.035888291,,,,,,-0.020277192,,0.00515968,-0.019467869,0.013187004,,,0.003019018,-0.018114428,0.059,1
12/8/1980,,,,-0.022145019,-0.02176101,,-0.032798092,-0.023060978,,,,-0.028779937,,,,0,-0.018474031,,,,,,-0.015955289,,0,-0.019854404,-0.022075952,,,-0.036821564,-0.025847872,0.059,1
12/9/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000995825,0.059,1
12/10/1980,,,,-0.044117507,-0.007283554,,-0.01129661,-0.011693661,,,,0.010555003,,,,0,-0.031152539,,,,,,-0.002395211,,0,0,-0.005371544,,,-0.00310327,-0.017160505,0.059,1
12/11/1980,,,,0,0.024094992,,0,-0.00168906,,,,-0.017683888,,,,0,0.006337021,,,,,,-0.028705449,,-0.010526324,-0.040777553,0.008046534,,,-0.015639755,-0.007041732,0.059,1
12/12/1980,,,,0.016611773,0.032783536,,0.01129661,0.006688305,,,,0.007128884,,,,-0.020834087,-0.025519841,,,,,,-0.011916725,,-0.010638308,0.020554752,0.008865306,,,0.015639755,0.01457604,0.059,1
12/15/1980,,,,-0.002534012,0,,0.005600807,0.013294102,,,,0.031422604,,,,-0.021277398,-0.019558009,,,,,,-0.005007522,,0.00532479,0.023008546,-0.002651349,,,-0.012487647,0.001700944,0.059,1
12/16/1980,,,,0.041074059,0,,0.011108377,-0.004983524,,,,0.037078819,,,,0.010695289,-0.006555447,,,,,,-0.019772507,,-0.00532479,-0.014255938,-0.006213957,,,-0.003152109,0.008844511,0.059,1
12/17/1980,,,,0.038282187,0.056014021,,0.02186991,-0.021783797,,,,0.032587864,,,,-0.010695289,-0.00667394,,,,,,-0.005133481,,0.015906899,0.011470192,-0.010743165,,,-0.012708742,0.017382502,0.059,1
12/18/1980,,,,-0.014184635,0.021550277,,0.005389418,0.023447733,,,,-0.006441246,,,,0.042111485,-0.020216527,,,,,,0.015322057,,0.075993712,0.019741492,-0.0081338,,,0.00637456,0.00082741,0.059,1
12/19/1980,,,,-0.004773279,0.010603449,,0.010692474,0.019704825,,,,0.015986238,,,,0.030459207,0.033445914,,,,,,-0.005081312,,0.019324123,0.002731364,0.002718624,,,0.009486291,0.005249356,0.059,1
12/22/1980,,,,0.007155202,0.037275283,,0.041677705,0.038186634,,,,0.006339417,,,,0.019802627,0.051304432,,,,,,0.067463429,,0.014244367,0.022057384,0.032935776,,,0.015590917,0.015437445,0.059,1
12/23/1980,,,,-0.017977185,-0.030958845,,0.020197371,-0.009410823,,,,-0.019099845,,,,0.028987537,-0.018869156,,,,,,0.109921527,,-0.004720558,0.021581338,-0.005267791,,,-0.0062162,-0.003541394,0.059,1
12/24/1980,,,,-0.033194902,0.016625378,,0.014884748,-0.006307347,,,,0.025399326,,,,0,0.031346537,,,,,,-0.012881243,,0,0.031523076,0.013117809,,,0,0.004277608,0.059,1
12/26/1980,,,,0.007475985,-0.004137022,,0.009801487,0.006307347,,,,0.003134922,,,,-0.019231362,-0.00621923,,,,,,0,,0,0.002526943,-0.005226493,,,-0.003122651,0.00506516,0.059,1
12/29/1980,,,,-0.003731006,-0.018804794,,-0.029697463,0.012543984,,,,-0.006279702,,,,-0.009756175,-0.018821754,,,,,,-0.008244785,,-0.014327637,-0.023431532,-0.010535655,,,0,-0.011340328,0.059,1
12/30/1980,,,,-0.007504035,0.002109915,,-0.010098428,0.039725555,,,,0.009404827,,,,-0.009852296,0.018821754,,,,,,-0.004366819,,0.004803828,0.002580255,0.026993367,,,0.003122651,0.002219264,0.059,1
12/31/1980,,,,-0.001253485,-0.010580981,,0.005061961,0.014830493,,,,0.003115389,,,,-0.009950331,-0.006258151,,,,,,0.033565974,,0,0.005291418,0.033786998,,,0.015468643,0.003172381,0.059,1
1/2/1981,,,,-0.002511694,-0.004269322,,0.03473393,0.014657989,,,,-0.006240513,,,,0.029558802,0.030769521,,,,,,0.044690929,,0.004765623,0.002635246,0.019737483,,,-0.006158774,0.004263145,0.049,1
1/5/1981,,,,0.016238159,-0.021596879,,0.004879884,-0.002923331,,,,0.036796532,,,,0.047402239,0.035742082,,,,,,0.061219584,,0.009478744,0.018107123,0,,,0.048197396,0.011884504,0.049,1
1/6/1981,,,,-0.021288655,-0.031038491,,0.004841326,0,,,,0.055667693,,,,0.018349139,0.011613923,,,,,,0.022210587,,0.004713403,0.005082322,0.044593376,,,0.037531678,0.001086602,0.049,1
1/7/1981,,,,-0.023052446,-0.025086933,,-0.034407445,-0.016142725,,,,0,,,,-0.018349139,-0.023364315,,,,,,-0.011231866,,-0.004713403,-0.020636124,0,,,-0.034592458,-0.022255677,0.049,1
1/8/1981,,,,-0.031581572,-0.035267393,,-0.020197371,0.002925887,,,,-0.0057235,,,,-0.028170877,-0.036172276,,,,,,-0.029807327,,0,-0.013060239,0.042689409,,,-0.00293922,-0.015067041,0.049,1
1/9/1981,,,,0.010638398,0.023654152,,0.015186143,0.00148218,,,,-0.005756447,,,,0,-0.006111555,,,,,,-0.066557626,,-0.014244367,-0.013310072,0,,,-0.014805604,0.0031515,0.049,1
1/12/1981,,,,0.010526413,0.011613241,,-0.015186143,0.011734658,,,,0,,,,0.009478744,-0.01247738,,,,,,0.008257685,,0,0.007976726,0.01113184,,,0.017744823,0.000299625,0.049,1
1/13/1981,,,,0,0.009191574,,0,-0.008776871,,,,-0.002890698,,,,0.00938974,0,,,,,,0.031568789,,-0.004803828,-0.007976726,-0.006664223,,,-0.020736743,-0.001724074,0.049,1
1/14/1981,,,,0.025841231,0.015895359,,0.005087715,-0.007365854,,,,-0.017485069,,,,-0.00938974,0,,,,,,0.022844633,,0,-0.002698849,-0.016479774,,,-0.018120024,0.001349528,0.049,1
1/15/1981,,,,0.027678692,0.05477231,,-0.005087715,0.005888054,,,,-0.014801895,,,,0,-0.006226582,,,,,,-0.018868484,,0.009569451,0.013345803,-0.016755914,,,0.009090177,0.005603511,0.049,1
1/16/1981,,,,0.026925442,-0.019371492,,0.005087715,-0.007376788,,,,0.008892586,,,,0,0,,,,,,-0.039665256,,-0.004765623,0.023567706,-0.006936444,,,-0.006065517,0.004089377,0.049,1
1/19/1981,,,,-0.015823078,-0.026435946,,-0.020523977,0,,,,0,,,,-0.009478744,0,,,,,,0.031697087,,-0.004803828,0.027957942,0.010003931,,,0.012094466,-0.002972433,0.049,1
1/20/1981,,,,-0.043896157,-0.00672672,,-0.03157339,-0.020986172,,,,0,,,,-0.009569451,-0.006337021,,,,,,-0.01572296,,0,0.002529543,-0.012326812,,,-0.012094466,-0.020450303,0.049,1
1/21/1981,,,,-0.006428826,-0.015845163,,0.0159113,0.004508035,,,,0.017624189,,,,0,0,,,,,,-0.011853807,,0.004803828,0.00503997,0.021473218,,,0.006065517,-0.00220524,0.049,1
1/22/1981,,,,-0.019546661,-0.046747314,,-0.010579354,-0.004508035,,,,-0.032514469,,,,-0.009661911,-0.032154311,,,,,,0,,-0.004803828,-0.007569513,-0.00227877,,,-0.015211252,-0.008409193,0.049,0
1/23/1981,,,,0.007867914,0.014253586,,0.021047955,-0.006104347,,,,-0.009064533,,,,-0.019608471,-0.006586518,,,,,,0.023568746,,-0.014520296,-0.002463412,0.00227877,,,0.009145735,-0.000230335,0.049,0
